[constant|pass|j2|min_d56|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d62 v15.7 M+20 (1s)
[constant|pass|j2|min_d44|mini] 到终 True 违规 0 线前停 False 时间 36.5 E 69 | 准备最大减速 1.80 v@cue 14.801777218993848 | 高速平顺 False 回退 3/0 | 采纳 d41 v11.3 M+22 (1s)
[constant|pass|j2|min_d32|mini] 到终 True 违规 0 线前停 False 时间 37.0 E 70 | 准备最大减速 3.50 v@cue 11.301777218993848 | 高速平顺 False 回退 3/1 | 采纳 d36 v9.6 M+22 (1s)
[constant|pass|j3|early|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 0.00 v@cue None | 高速平顺 True 回退 0/0 | 采纳 d182 v16.0 M+139 (1s)
[constant|pass|j3|cons_d150|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+115 (1s)
[constant|pass|j3|cons_d120|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d126 v16.0 M+83 (1s)
[constant|pass|j3|cons_d100|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d102 v16.0 M+59 (1s)
[constant|pass|j3|cons_d89|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d94 v16.0 M+51 (1s)
[constant|pass|j3|cons_d78|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d86 v15.5 M+49 (1s)
[constant|pass|j3|cons_d67|cons] 到终 True 违规 0 线前停 False 时间 35.0 E 59 | 准备最大减速 1.71 v@cue 14.632387473487517 | 高速平顺 True 回退 0/0 | 采纳 d71 v13.8 M+43 (1s)
[constant|pass|j3|cons_d56|cons] 到终 True 违规 0 线前停 False 时间 35.5 E 61 | 准备最大减速 2.34 v@cue 12.67874980132775 | 高速平顺 True 回退 0/0 | 采纳 d58 v11.7 M+38 (1s)
[constant|pass|j3|cons_d44|cons] 到终 True 违规 0 线前停 False 时间 36.0 E 62 | 准备最大减速 2.34 v@cue 10.764051672379876 | 高速平顺 True 回退 0/0 | 采纳 d47 v10.5 M+29 (1s)
[constant|pass|j3|cons_d32|cons] 到终 True 违规 0 线前停 False 时间 36.0 E 61 | 准备最大减速 2.34 v@cue 11.04426590240856 | 高速平顺 True 回退 0/0 | 采纳 d37 v10.8 M+17 (1s)
[constant|pass|j3|min_d150|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+115 (1s)
[constant|pass|j3|min_d120|mini] 到终 True 违规 0 线前停 False 时间 35.0 E 58 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d126 v16.0 M+83 (1s)
