branch_id,tag,policy,jerk,adoption,event,trigger,subclass,e,e_propagation,e_update,margin_propagated,margin_updated,innovation_identity_error,v_trigger,a_trigger,d_previous,d_after,crossed15,response,override_flag,post_adoption_override_flag,post_adoption_realized_jerk,realized_jerk,actual_exceedance
b84800eca570,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,4.0,16,40,39,creep,-0.02459641231026044,-0.024596412310260607,1.6653345369377348e-16,0.008028688117897614,-0.012878262345823538,2.220446049250313e-16,0.15624199923368776,0.19677129848139963,7.167747161337548,7.089626161720704,False,40,0,0,0.81209604879751,0.81209604879751,False
b96f69b22a9c,v6_formal_v22,constant,3.0,18,19,15,before_adoption,-3.123486768587142,0.2942223449501604,-3.4177091135373026,1.5851188443725306,-1.0698449089265267,1.3322676295501878e-14,20.546473213562017,-2.3537787595996633,90.70152733496019,77.01058161464188,False,16,0,0,0.15789111843332648,2.2924424808006734,False
ba14a8d25280,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,2.0,21,28,27,highspeed_update,-2.2446561118971218,-0.04250895214874317,-2.2021471597483786,1.7615851435932939,-0.14637255151925999,4.440892098500626e-16,7.576964895594968,0.3400716171890803,29.572704717285617,23.582075109739755,False,28,0,0,0.6801432343781606,0.6801432343781606,False
ba20579ea032,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,4.0,12,28,27,freeze_crossing,-5.739250461593807,0.1279888105778264,-5.867239272171633,2.4959529111024565,-2.3824099812522803,8.881784197001252e-16,5.294688046583287,-1.0239104846227534,18.052439808090842,9.537856512627565,True,28,1,1,4.952179030754493,4.952179030754493,True
c346e8665554,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,2.0,15,29,28,freeze_crossing,-4.292729096164173,0.1560638183562082,-4.448792914520381,1.822504163820696,-1.8263155679188507,4.440892098500626e-16,5.515823529276036,-1.248510546848392,18.98992517886866,11.78322049971026,True,29,1,1,4.233279682334153,4.233279682334153,True
c82065aedf9b,v6_formal_v22,runs/v4r_s1/v4_pilot/supervised/final_nets.pt,4.0,16,31,30,freeze_crossing,-4.2593333271978615,0.10866681482797924,-4.36800014202584,2.2950897978730325,-1.3253435302451493,4.440892098500626e-16,5.218277509546634,-0.8693345186248536,17.737419673192413,10.760280776393255,True,31,1,1,5.261330962750293,5.261330962750293,True
c87e3d03b9ac,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,3.0,21,30,29,freeze_crossing,-3.307289982416563,0.18937612866654785,-3.496666111083111,2.7602822716185873,-0.05091421343549207,8.881784197001252e-16,5.5261015278655155,-1.5150090293335943,19.03443062599112,12.774713750975252,True,30,0,0,1.7196606042515938,1.7196606042515938,False
c92275ad9e56,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,3.0,10,40,39,creep,-0.008783946566616407,-0.008783946566616678,2.706168622523819e-16,0.006769162240387459,-0.0006971923412361324,3.5475095083725705e-16,0.1078233894363768,0.07027157253440722,7.14362775944508,7.0897160647268915,False,40,0,0,0.3648283524645768,0.3648283524645768,False
cd75722fa309,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,2.0,15,16,15,adoption_step,-3.352297726441762,0.26121613990127557,-3.6135138663430375,1.5680637467976482,-1.281389320677846,3.552713678800501e-15,20.3850843284468,-2.089729119210443,91.11034477441694,77.3042887438505,False,16,1,1,2.2854973314196405,2.2854973314196405,True
d21ddb970e79,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,2.0,16,28,27,freeze_crossing,-6.285777216426862,0.2095908862686917,-6.495368102695553,2.66797306433621,-2.674937569626622,0.0,5.794227917876372,-1.676727090150532,20.224736142862128,10.832254081228388,True,28,1,1,3.646545819698936,3.646545819698936,True
d5fa551be11c,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,4.0,14,40,39,creep,-0.024584887748339668,-0.02458488774833971,4.163336342344337e-17,0.008027646310788207,-0.012869508275300333,1.7694179454963432e-16,0.15620505924538017,0.1966791019851694,7.167728125547448,7.089625595924758,False,40,0,0,0.8117676330642813,0.8117676330642813,False
dac17bf9c3e8,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,2.0,21,30,29,freeze_crossing,-3.6277714425716887,0.1999277701650608,-3.8276992127367495,2.523333829679048,-0.5602718965068867,4.440892098500626e-16,5.7373785202484,-1.5994221613206125,19.96765187631666,13.271263403455709,True,30,0,0,1.444064375389928,1.444064375389928,False
dae74382475f,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,4.0,13,40,39,creep,-0.024584692383836426,-0.024584692383836676,2.498001805406602e-16,0.008027628628613268,-0.01286935989764805,3.5735303605122226e-16,0.1562044331509687,0.1966775390718688,7.1677278029167715,7.089625586341287,False,40,0,0,0.8117620661605893,0.8117620661605893,False
db22facefbd2,v6_formal_v22,constant,2.0,18,19,15,before_adoption,-3.352297726441762,0.26121613990127557,-3.6135138663430375,1.5680637467976482,-1.281389320677846,3.552713678800501e-15,20.3850843284468,-2.089729119210443,91.11034477441694,77.3042887438505,False,16,1,0,0.4635229051987153,2.2854973314196405,True
dfb48f450409,v6_formal_v22,runs/v4r_s1/v4_pilot/supervised/final_nets.pt,4.0,17,40,39,creep,-0.01605707542950885,-0.01605707542950857,-2.7755575615628914e-16,0.007791326521373293,-0.00585718759370954,3.1051550219984847e-16,0.13599850386312207,0.1284566034355652,7.159931532369292,7.091932280437731,False,40,0,0,0.5792763055801107,0.5792763055801107,False
e37da99e3f5b,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,2.0,18,28,27,freeze_crossing,-4.355978676456624,0.08794098493246993,-4.443919661389094,3.427573346601833,-0.2750085283862971,4.440892098500626e-16,4.165817898871274,-0.703527879458127,18.157137958255053,11.630309347430321,True,28,0,0,0.2515470166255156,0.2515470166255156,False
ec8ac44ff890,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,3.0,18,19,15,before_adoption,-3.123486768587142,0.2942223449501604,-3.4177091135373026,1.5851188443725306,-1.0698449089265267,1.3322676295501878e-14,20.546473213562017,-2.3537787595996633,90.70152733496019,77.01058161464188,False,16,0,0,0.15789111843332648,2.2924424808006734,False
f098e9c14848,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,4.0,13,39,38,creep,-0.012678641713937289,-0.012678641713937261,-2.7755575615628914e-17,0.009747185845745424,-0.0010296596111012274,4.336808689942018e-17,0.1553197605633247,0.10142913371193166,7.180954327963698,7.103294447682035,False,39,0,0,0.5279991928844008,0.5279991928844008,False
f0b3a0d97f81,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,2.0,19,30,29,freeze_crossing,-3.6277714425716887,0.1999277701650608,-3.8276992127367495,2.523333829679048,-0.5602718965068867,4.440892098500626e-16,5.7373785202484,-1.5994221613206125,19.96765187631666,13.271263403455709,True,30,0,0,1.444064375389928,1.444064375389928,False
f225a4a2ed86,v6_formal_v22,constant,4.0,10,39,38,creep,-0.019479032899295312,-0.019479032899295534,2.220446049250313e-16,0.009202798551328661,-0.007354379413071599,7.528699885739343e-16,0.16166204586735455,0.15583226319366994,7.1785500018204615,7.0977189788867845,False,39,0,0,0.698640073296874,0.698640073296874,False
fa29c0d2d733,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,2.0,17,28,27,highspeed_update,-2.2446561118971218,-0.04250895214874317,-2.2021471597483786,1.7615851435932939,-0.14637255151925999,4.440892098500626e-16,7.576964895594968,0.3400716171890803,29.572704717285617,23.582075109739755,False,28,0,0,0.6801432343781606,0.6801432343781606,False
fadb80877357,v6_formal_v22,constant,2.0,14,16,15,highspeed_update,-3.3497052534070235,0.2741785050750103,-3.623883758482034,2.184943132223779,-0.6623063331721966,5.773159728050814e-15,20.333234867751862,-2.193428040600321,91.11034477441694,77.31984358205898,False,16,0,0,1.861681040688075,1.861681040688075,False
fbde62e32451,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,2.0,11,28,27,highspeed_update,-2.2446561118971218,-0.04250895214874317,-2.2021471597483786,1.7615851435932939,-0.14637255151925999,4.440892098500626e-16,7.576964895594968,0.3400716171890803,29.572704717285617,23.582075109739755,False,28,0,0,0.6801432343781606,0.6801432343781606,False
fcfa60694ec9,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,2.0,14,28,27,highspeed_update,-2.2446561118971218,-0.04250895214874317,-2.2021471597483786,1.7615851435932939,-0.14637255151925999,4.440892098500626e-16,7.576964895594968,0.3400716171890803,29.572704717285617,23.582075109739755,False,28,0,0,0.6801432343781606,0.6801432343781606,False
fd859b490db7,v6_formal_v22,runs/v4r_s2/v4_pilot/supervised/final_nets.pt,2.0,15,28,27,highspeed_update,-2.2446561118971218,-0.04250895214874317,-2.2021471597483786,1.7615851435932939,-0.14637255151925999,4.440892098500626e-16,7.576964895594968,0.3400716171890803,29.572704717285617,23.582075109739755,False,28,0,0,0.6801432343781606,0.6801432343781606,False
ffb77cae7081,v6_formal_v22,runs/v4r/v4_pilot/supervised/final_nets.pt,3.0,19,27,26,freeze_crossing,-5.423099537211247,0.14067309842813636,-5.563772635639383,2.6917585924609257,-1.917876014168633,8.881784197001252e-16,5.643840516740031,-1.1253847874250358,19.550170893488982,11.164477999479583,True,27,1,1,4.749230425149928,4.749230425149928,True
