工况 0: 到达 False 违规 0 弯道超速 0 end_x 1555.7 时间 600.0 停车时长 519.0
52 x 568 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.07, 118) 灯 (0.02, 48) 终 (0.04, 38) 解 (0.03, 99) | 感知 unknown 真绿 True 目标 [] fb False
53 x 579 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.07, 194) 灯 (0.03, 40) 终 (0.03, 40) 解 (0.03, 59) | 感知 unknown 真绿 True 目标 [] fb False
54 x 590 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.06, 153) 灯 (0.03, 55) 终 (0.04, 78) 解 (0.03, 104) | 感知 unknown 真绿 True 目标 [] fb False
55 x 601 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.09, 153) 灯 (0.04, 82) 终 (0.05, 51) 解 (0.04, 96) | 感知 unknown 真绿 True 目标 [] fb False
56 x 612 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.06, 141) 灯 (0.03, 82) 终 (0.04, 44) 解 (0.02, 55) | 感知 unknown 真绿 True 目标 [] fb False
57 x 623 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.08, 167) 灯 (0.03, 63) 终 (0.05, 147) 解 (0.04, 68) | 感知 unknown 真绿 True 目标 [] fb False
58 x 634 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.07, 135) 灯 (0.02, 62) 终 (0.04, 42) 解 (0.03, 58) | 感知 unknown 真绿 True 目标 [] fb False
59 x 645 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.08, 175) 灯 (0.04, 85) 终 (0.04, 78) 解 (0.05, 71) | 感知 unknown 真绿 True 目标 [] fb False
60 x 657 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.07, 132) 灯 (0.03, 68) 终 (0.07, 49) 解 (0.03, 58) | 感知 unknown 真绿 False 目标 [] fb False
61 x 668 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.05, 147) 灯 (0.06, 82) 终 (0.06, 36) 解 (0.04, 58) | 感知 unknown 真绿 False 目标 [] fb False
