工况 2: 到达 False 违规 1 弯道超速 0 end_x 3000.3 时间 153.5 停车时长 0.0
37 x 401 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.1, 130) 灯 (0.03, 60) 终 (0.03, 82) 解 (0.03, 87) | 感知 unknown 真绿 False 目标 [] fb False
38 x 412 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.1, 134) 灯 (0.02, 68) 终 (0.04, 92) 解 (0.03, 92) | 感知 unknown 真绿 False 目标 [] fb False
39 x 423 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.12, 134) 灯 (0.02, 62) 终 (0.03, 85) 解 (0.03, 91) | 感知 unknown 真绿 False 目标 [] fb False
40 x 434 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 140) 灯 (0.03, 67) 终 (0.06, 113) 解 (0.03, 94) | 感知 unknown 真绿 False 目标 [] fb False
41 x 445 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.13, 139) 灯 (0.02, 72) 终 (0.06, 110) 解 (0.03, 90) | 感知 unknown 真绿 False 目标 [] fb False
42 x 457 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 137) 灯 (0.02, 67) 终 (0.05, 105) 解 (0.04, 89) | 感知 unknown 真绿 False 目标 [] fb False
43 x 468 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.11, 136) 灯 (0.02, 64) 终 (0.06, 102) 解 (0.03, 94) | 感知 unknown 真绿 False 目标 [] fb False
44 x 479 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.12, 138) 灯 (0.02, 68) 终 (0.05, 103) 解 (0.03, 93) | 感知 unknown 真绿 False 目标 [] fb False
45 x 490 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 142) 灯 (0.02, 69) 终 (0.05, 98) 解 (0.03, 86) | 感知 unknown 真绿 False 目标 [] fb False
46 x 501 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 137) 灯 (0.03, 68) 终 (0.07, 109) 解 (0.03, 90) | 感知 unknown 真绿 False 目标 [] fb False
