tag,info,jerk,branch_id,target_m,t_entry_200,t_info,delay_actual_s,delay_distance_s,observed_delta_time_s,lp_reference_floor_s,lp_reference_ceil_s,lp_reference_interp_s,residual_floor_s,residual_ceil_s,residual_interp_s
v6_formal_v22,cons,3.0,5d1520ea9b54,100.0000000000002,138.39377169240686,143.0,4.606228307593142,4.249780393488923,0.6023950648454104,0.0,0.0,0.0,0.6023950648454104,0.6023950648454104,0.6023950648454104
v6_formal_v22,min,3.0,5e10b59539c1,78.0000000000002,138.39377169240686,143.5,5.106228307593142,5.105155960557445,0.0021549043835022985,0.0,0.0008330200637899418,0.00017698062313507314,0.0021549043835022985,0.0013218843197123566,0.0019779237603672253
v6_formal_v22,cons,4.0,613b8a2e7d80,89.0000000000002,138.39377169240686,143.5,5.106228307593142,4.6494153155798355,0.8183463583461048,0.0,0.0,0.0,0.8183463583461048,0.8183463583461048,0.8183463583461048
v6_formal_v22,min,3.0,69b9f0c38a03,100.0000000000002,138.39377169240686,142.5,4.106228307593142,4.106232413825628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,cons,4.0,704ec723f7c9,120.0000000000002,138.39377169240686,142.0,3.606228307593142,3.377406479603172,0.28375245655988124,0.0,0.0,0.0,0.28375245655988124,0.28375245655988124,0.28375245655988124
v6_formal_v22,min,2.0,769501dadaf2,120.0000000000002,138.39377169240686,141.5,3.106228307593142,3.1062314138246103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,cons,4.0,8a7ca45f6606,78.0000000000002,138.39377169240686,144.0,5.606228307593142,5.028736518180987,1.112456769920641,0.0,0.02343602343602381,0.004979138212644036,1.112456769920641,1.089020746484617,1.1074776317079968
v6_formal_v22,min,3.0,8b3fcc2c11ba,150.0000000000002,138.39377169240686,140.5,2.106228307593142,2.106230413823592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,cons,2.0,8d0e54717893,89.0000000000002,138.39377169240686,143.5,5.106228307593142,4.640158048327216,0.8260095449704181,0.0,0.008124065816372893,0.001726011524897177,0.8260095449704181,0.8178854791540452,0.824283533445521
v6_formal_v22,cons,3.0,8d4eaa35f6c1,89.0000000000002,138.39377169240686,143.5,5.106228307593142,4.656627897202731,0.905564008859244,0.0,0.0008330200637899418,0.00017698062313507314,0.905564008859244,0.9047309887954541,0.905387028236109
v6_formal_v22,cons,4.0,9d05d61c23ea,100.0000000000002,138.39377169240686,143.0,4.606228307593142,4.242461986411344,0.5226790317461223,0.0,0.0,0.0,0.5226790317461223,0.5226790317461223,0.5226790317461223
v6_formal_v22,cons,3.0,a1bc25f74389,44.0000000000002,138.39377169240686,146.5,8.106228307593142,6.575594771514409,3.1534465116486103,1.1453791626205418,1.5911317635455575,1.240082251423553,2.0080673490280683,1.5623147481030528,1.9133642602250573
v6_formal_v22,min,2.0,a30ab9bbda71,56.0000000000002,138.39377169240686,144.5,6.106228307593142,6.049122548876408,0.23629013186348402,0.09597786383500657,0.317181692181692,0.14297408047179105,0.14031226802847746,-0.08089156031820799,0.09331605139169297
v6_formal_v22,cons,3.0,b3ed97fc3044,67.0000000000002,138.39377169240686,145.0,6.606228307593142,5.725238432400222,1.8787289685909059,0.20815262481929103,0.45345773917202453,0.260269319102557,1.6705763437716148,1.4252712294188814,1.618459649488349
v6_formal_v22,cons,2.0,b72634caa1a3,100.0000000000002,138.39377169240686,143.0,4.606228307593142,4.226248293043249,1.0605353307404357,0.0,0.0,0.0,1.0605353307404357,1.0605353307404357,1.0605353307404357
v6_formal_v22,min,4.0,b97162ce8b98,100.0000000000002,138.39377169240686,142.5,4.106228307593142,4.106232413825628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,min,4.0,ba6761c33f7c,150.0000000000002,138.39377169240686,140.5,2.106228307593142,2.106230413823592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6_formal_v22,min,2.0,bd64aad00b9f,67.0000000000002,138.39377169240686,144.0,5.606228307593142,5.585255612502246,0.7199825009019492,0.008124065816372893,0.09597786383500657,0.026789186374671238,0.7118584350855762,0.6240046370669425,0.693193314527278
v6_formal_v22,min,4.0,bdc17ec4a2de,44.0000000000002,138.39377169240686,145.5,7.106228307593142,6.915882605821593,0.7329219669310021,0.36297086297086223,0.6574716574716588,0.4255395049401728,0.36995110396013986,0.07545030945934328,0.3073824619908293
